artist_name,popularity
Jason Mraz,69
Joshua Hyslop,46
Boyce Avenue,66
Andrew Belle,51
Chris Smither,40
Matt Wertz,35
Green River Ordinance,32
Tristan Prettyman,33
David Gray,57
Eddie Vedder,59
The Civil Wars,51
Gabrielle Aplin,51
Harley Poe,40
Ron Pope,51
Sara Bareilles,62
MEIKO,37
Eric Hutchinson,43
Ross Copperman,40
Johnnyswim,46
AJJ,49
Not Half Bad,28
A Fine Frenzy,38
Get Dead,35
Chad Hates George,19
Taj Mahal,48
David Ramirez,31
Ichiko Aoba,59
Amos Lee,57
Steve Petrunak,43
Kris Allen,37
Ann Sally,29
Ingrid Michaelson,55
Jon Bryant,42
Otis Spann,30
Joshua Radin,46
Jaymay,29
Drew Holcomb & The Neighbors,55
Mark Lanegan,46
Joshua James,34
Josh Garrels,52
Sanders Bohlke,26
Kaki King,35
Jon McLaughlin,42
Noah Gundersen,44
Matthew Mayfield,29
Jenny & Tyler,29
NEEDTOBREATHE,61
Corporate Hearts,28
Greg Laswell,40
(Person) (Noun),6
Daryl Shawn,12
Matthew Perryman Jones,37
Eric Bibb,39
Tyler Ward,47
Hannah Trigwell,39
Scars On 45,24
Joey Cape,26
Fuyumi Abe,31
Tony Sly,28
Jason Reeves,44
Dan Andriano in the Emergency Room,20
Josh Kelley,31
Hana Sekitori,27
Rodrigo y Gabriela,47
Jack Savoretti,51
Jill Andrews,43
Zee Avi,36
Mark Kroos,26
Frank Turner,54
Tim Myers,26
Elenowen,19
Erin McCarley,35
Priscilla Ahn,43
Human Kitten,23
Josh Ritter,44
Madi Diaz,43
Tyrone Wells,44
Tim & Barry,43
Ramshackle Glory,32
Peter Bradley Adams,46
Amy Stroup,35
Cary Brothers,37
Dave Barnes,39
Masaharu Fukuyama,54
Trent Dabbs,32
Denis Turbide,45
Patty Griffin,42
Fay Wolf,13
Kate Havnevik,29
Beans on Toast,33
Bukka White,26
John Frusciante,49
Roberto Diana,27
YUZU,53
Katie Herzig,35
Benjamin Francis Leftwich,45
Chuck Ragan,35
Rachael Yamagata,42
Mindy Smith,33
Toto Sorioso,29
Lulu Panganiban,24
The Moon Loungers,40
Mischief Brew,35
Andy Salvanos,27
Brett Dennen,44
John Standefer,20
Van Larkins,18
Right the Stars,9
Augustana,43
Moonshine Bandits,50
Charley Patton,24
Iron & Wine,62
